Source,Date,PO,Client,Route,Aircraft,Tail,Operator,Pay Terms,Client Invoiced,Operator Paid,Margin,Funded By,Deposited To,Check/Deposit #,Jonny Profits,Jonny Invested,Jonny Owed,Jonny Returned,Client Paid?,OnFly Paid?,Investor Paid?,Operator Paid?,Bill in QB?,Referral,Referral Paid?
Legacy,2025-07-25,PO # 00141,PSA,KCAK → KORD,Aerostar,,Castle,Net 30,5600.0,4569.01,1030.99,Jonny 1%,OFA Bank (8071),# 391095,45.69,4569.01,,4614.7,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-25,PO #00143,PSA,KPHL → KDAY,,,Moyer,Net 30,10700.0,9573.61,1126.39,Jonny 1%,OFA Bank (8071),# 391095,95.74,9573.61,,9669.35,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-25,PO # 00140,PSA,KCVG → KSTL,C310,,Sonrise,Net 30,5500.0,4533.0,967.0,Jonny 1%,OFA Bank (8071),# 391095,45.33,4533.0,,4578.33,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-25,PO #00142,PSA,KCVG → KBTR,404,,Sonrise,Net 30,12040.0,10368.75,1671.25,Jonny 1%,OFA Bank (8071),# 391095,103.69,10368.75,,10472.44,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-20,PO # 00139,PSA,KGSP → KMCI,B58,,Axio,Net 30,8650.0,7200.0,1450.0,Jonny 1%,OFA Bank (8071),# 390771,72.0,7200.0,,7272.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-17,PO # 01048,Kalitta,PHX → LAX,CJ2,,Diamond Aviation,Net 30,14000.0,13000.0,1000.0,Jonny 1%,OFA Bank (8071),# 236951,130.0,13000.0,,13130.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-15,PO #00138,PSA,KSAV → KRIC,C90,,Executive Shuttle,Net 30,9850.0,8323.0,1527.0,Jonny 1%,OFA Bank (8071),# 390327,83.23,8323.0,,8406.23,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-11,PO #00137,PSA,KGSP → KMGM,,,Axio,Net 30,4500.0,3210.0,1290.0,Jonny 1%,OFA Bank (8071),# 390327,32.1,3210.0,,3242.1,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-09,PO #00136,PSA,KCAK/KCVG → KMGM,C310,,Air Z,Net 30,8200.0,7000.0,1200.0,Jonny 1%,OFA Bank (8071),# 390327,70.0,7000.0,,7070.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-08,PO #00135,PSA,KDAY → KDTS,C310,,Sonrise,Net 30,8650.0,7468.0,1182.0,Jonny 1%,OFA Bank (8071),# 390327,74.68,7468.0,,7542.68,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-08,PO #00134,PSA,KCAK → KSGF,C310,,Air Z,Net 30,8250.0,7000.0,1250.0,Jonny 1%,OFA Bank (8071),# 390327,70.0,7000.0,,7070.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-07-05,PO # 00133,PSA,KCLT → KMCI,B58,,Axio,Net 30,11500.0,9932.75,1567.25,Jonny 1%,OFA Bank (8071),# 390185,99.33,9932.75,,10032.08,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-30,PO # 00132,PSA,KCLT → KORD,B58,,Axio,Net 30,8600.0,7000.0,1600.0,Jonny 1%,OFA Bank (8071),# 389894,70.0,7000.0,,7070.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-27,PO # 00130,PSA,KDAY → KSYR,C310,,Miller,Net 30,6800.0,5306.0,1494.0,Jonny 1%,OFA Bank (8071),# 389711,53.06,5306.0,,5359.06,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-27,PO #00131,PSA,KGSP → KAVP,Barron,,Axio,Net 30,7000.0,5310.0,1690.0,Jonny 1%,OFA Bank (8071),# 389711,53.1,5310.0,,5363.1,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-26,PO #00127,PSA,KCAK → KMHT,Barron,,Axio,Net 30,6800.0,5628.0,1172.0,Jonny 1%,OFA Bank (8071),# 389711,56.28,5628.0,,5684.28,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-26,PO #00128,PSA,KCVG → KBGR,C310,,Sonrise,Net 30,10850.0,9865.0,985.0,Jonny 1%,OFA Bank (8071),# 389711,98.65,9865.0,,9963.65,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-26,PO #00129,PSA,KCAK → KMHT,C310,,Air Z,Net 30,6800.0,5500.0,1300.0,Jonny 1%,OFA Bank (8071),# 389711,55.0,5500.0,,5555.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-23,PO #00126,PSA,KCLT → KMHT,Barron,,Axio,Net 30,9800.0,8341.5,1458.5,Jonny 1%,OFA Bank (8071),# 389560,83.42,8341.5,,8424.92,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-23,PO #00125,PSA,KCLT → KMHT,King Air 90,,Exec Shuttle,Net 30,13600.0,12998.55,601.45,Jonny 1%,OFA Bank (8071),# 389560,129.99,12998.55,,13128.54,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-22,PO #00124,PSA,KORF → KALB,Chyenne,,Contrail,Net 30,9800.0,9314.62,485.38,Jonny 1%,OFA Bank (8071),# 389560,93.15,9314.62,,9407.77,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-20,PO #00123,PSA,KCLT → KPVD,King Air 90,,Exec Shuttle,Net 30,12575.0,11275.0,1300.0,Jonny 1%,OFA Bank (8071),# 389560,112.75,11275.0,,11387.75,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-20,PO #00121,PSA,KCKB → KPHL,C310,,Sonrise,Net 30,6500.0,5488.8,1011.2,Jonny 1%,OFA Bank (8071),# 389560,54.89,5488.8,,5543.69,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-20,PO #00122,PSA,KCAK → KBTR,C310,,Air Z,Net 30,8500.0,7100.0,1400.0,Jonny 1%,OFA Bank (8071),# 389560,71.0,7100.0,,7171.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-15,PO #00120,PSA,KCKB → KCAK,,,Air Z,Net 30,4000.0,2500.0,1500.0,Jonny 1%,OFA Bank (8071),# 389318,25.0,2500.0,,2525.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-14,PO # 00119,PSA,KCLT → KALB,Barron,,Axio,Net 30,8500.0,7076.25,1423.75,Jonny 1%,OFA Bank (8071),# 390185,70.76,7076.25,,7147.01,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-10,PO # 00118,PSA,KGSP → KBTV,C90,,Executive Shuttle,Net 30,13000.0,11935.3,1064.7,Jonny 1%,OFA Bank (8071),# 389182,119.35,11935.3,,12054.65,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-09,PO #00117,PSA,KCAK → KTYS,C310,,Miller,Net 30,6000.0,4800.0,1200.0,Jonny 1%,OFA Bank (8071),# 389110,48.0,4800.0,,4848.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-08,PO #00116,PSA ,KCVG → KMCI,C310,,Sonrise,Net 30,8200.0,7208.0,992.0,Jonny 1%,OFA Bank (8071),# 389447,72.08,7208.0,,7280.08,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-06,PO #00114,PSA,KCVG → KMCI,C310,,Miller,Net 30,6950.0,5508.0,1442.0,Jonny 1%,OFA Bank (8071),# 388987,55.08,5508.0,,5563.08,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-06,PO #00115,PSA,KCAK → KMHT,C310,,Sonrise,Net 30,8900.0,8548.0,352.0,Jonny 1%,OFA Bank (8071),# 389447,85.48,8548.0,,8633.48,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-05,PO #00113,PSA,KGSP → KMCI,B58,,Axio,Net 30,8100.0,6937.5,1162.5,Jonny 1%,OFA Bank (8071),# 388859,69.38,6937.5,,7006.88,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-04,PO #00112,PSA,KDFW → KLIT,,,GTA,Net 31,,900.0,-900.0,Jonny 1%,OFA Bank (8071),No Money,9.0,900.0,,909.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-06-01,PO #00111,PSA,KCAK → KHSV,C310,,Air Z,Net 30,6700.0,5700.0,1000.0,Jonny 1%,OFA Bank (8071),# 388859,57.0,5700.0,,5757.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-29,PO #00110,PSA,KCAK → KSGF,C310,,Air Z,Net 30,8900.0,7900.0,1000.0,Jonny 1%,OFA Bank (8071),# 388694,79.0,7900.0,,7979.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-27,PO #00109,PSA,KCKB → KDFW,C310,,Sonrise,Net 30,11900.0,10853.9,1046.1,Jonny 1%,OFA Bank (8071),# 388694,108.54,10853.9,,10962.44,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-26,PO #00108,PSA,KCAK → KPIA,C310,,Air Z,Net 30,6500.0,5500.0,1000.0,Jonny 1%,OFA Bank (8071),# 388694,55.0,5500.0,,5555.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-23,PO #00107,PSA,KCAK → KLFT,C310,,Air Z,Net 30,11750.0,11000.0,750.0,Jonny 1%,OFA Bank (8071),# 388563,110.0,11000.0,,11110.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-22,PO #VG052204,Piedmont,KPHL → KORD,C310,,Sonrise,Net 30,8200.0,7243.98,956.02,Jonny 1%,OFA Bank (8071),# 894949,72.44,7243.98,,7316.42,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-21,PO #00106,PSA,KCVG → KHSV,C310,,Sonrise,Net 30,6300.0,4750.0,1550.0,Jonny 1%,OFA Bank (8071),# 388452,47.5,4750.0,,4797.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-18,PO #01047,Athelo Group,KORL → KTNU,,,Exec 1 Avaition,Net 15,18100.0,16936.45,1163.55,Jonny 1%,OFA Bank (8071),ID 08783G,169.36,16936.45,,17105.81,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-18,PO #00105,PSA,DFW → XNA,,,GTA,Net 30,13500.0,10075.0,3425.0,Jonny 1%,OFA Bank (8071),# 388305,100.75,10075.0,,10175.75,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-16,PO #JB051606,PDT,KMDT → KALO,Cheyenne,,Contrail,Net 30,17750.0,16478.25,1271.75,Jonny 1%,OFA Bank (8071),#894669,164.78,16478.25,,16643.03,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-15,PO # 00105,PSA,DFW → XNA,,,GTA,Net 30,5600.0,3300.0,2300.0,Jonny 1%,OFA Bank (8071),# 388305,33.0,3300.0,,3333.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-14,PO #00103,PSA,KCAK → KXNA,Aerostar,,Castle,Net 30,8500.0,7071.21,1428.79,Jonny 1%,OFA Bank (8071),# 388168,70.71,7071.21,,7141.92,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-14,PO #00104,PSA,KCLT → KDFW,C404,,Sonrise,Net 30,11800.0,10400.0,1400.0,Jonny 1%,OFA Bank (8071),# 388168,104.0,10400.0,,10504.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-13,PO #00102,PSA,KCAK → Cancel,,,Air Z,Net 30,,1830.0,-1830.0,OFA,OFA Bank (8071),No Money,,,,,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-08,PO #00101,PSA,CAK → MKE,C310,,Air Z,Net 30,5300.0,4200.0,1100.0,Jonny 1%,OFA Bank (8071),# 387934,42.0,4200.0,,4242.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-05,PO #00100,PSA,TUL → ORF,Bonaza,,GTA,Net 30,11000.0,9270.66,1729.34,Jonny 1%,OFA Bank (8071),# 387794,92.71,9270.66,,9363.37,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-05-04,PO # 00099,PSA,KORF → KHSV,Baron 58,,Axio,Net 30,7750.0,5512.5,2237.5,Jonny 1%,OFA Bank (8071),# 387794,55.13,5512.5,,5567.63,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-28,PO # 00098,PSA ,KDAY-KORF → KBTV,C310,,Miller ,Net 30,11100.0,9834.84,1265.16,Jonny 1%,OFA Bank (8071),# 387569,98.35,9834.84,,9933.19,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-27,PO # CS042605,PSA,KMDT → KALO,C310,,Air Z,Net 30,12100.0,8900.0,3200.0,Jonny 1%,OFA Bank (8071),# 0000893796,89.0,8900.0,,8989.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-25,PO # 00097,PSA,KCAK → KSYR,C340,,Air Z,Net 30,5200.0,3500.0,1700.0,Jonny 1%,OFA Bank (8071),# 387344,35.0,3500.0,,3535.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-25,PO # 00096,PSA,KGSP → KGPT,C310,,Miller,Net 30,10300.0,9750.0,550.0,Jonny 1%,OFA Bank (8071),# 387344,97.5,9750.0,,9847.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-20,PO #00095,PSA,KDAY → KMLI,C310,,Sonrise,Net 30,6800.0,5800.0,1000.0,Jonny 1%,OFA Bank (8071),# 387344,58.0,5800.0,,5858.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-13,PO #VG041304,Piedmont,KROA → KAZO,C310,,Sonrise,Net 30,7000.0,5350.0,1650.0,Jonny 1%,OFA Bank (8071),# 893204,53.5,5350.0,,5403.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-09,PO #00094,PSA,KCAK → KMKE,N3839G,,Air Z,Net 30,6900.0,5250.0,1650.0,Jonny 1%,OFA Bank (8071),# 386816,52.5,5250.0,,5302.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-08,PO #00093,PSA,KDFW → KMDH,6209X,,Miller,Net 30,8700.0,7770.0,930.0,Jonny 1%,OFA Bank (8071),# 386816,77.7,7770.0,,7847.7,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-07,PO #00092,PSA,KDFW → KJAN,CC404,,Sonrise,Net 30,8100.0,7195.0,905.0,Jonny 1%,OFA Bank (8071),# 386816,71.95,7195.0,,7266.95,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-06,PO #00091,PSA,KDAY → KJAN,C310,,Sonrise,Net 30,7900.0,6825.0,1075.0,Jonny 1%,OFA Bank (8071),# 386816,68.25,6825.0,,6893.25,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-04-02,PO #00090,PSA ,KCAK → KPVD,C310,,Miller Aviation,Net 30,8400.0,7370.0,1030.0,Jonny 1%,OFA Bank (8071),# 386631,73.7,7370.0,,7443.7,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-31,PO #00089,PSA,KCAK → KMCI,Aerostar,,Castle,Net 30,8500.0,6513.86,1986.14,Jonny 1%,OFA Bank (8071),# 386509,65.14,6513.86,,6579.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-29,PO #00088,PSA,KCLT → KDFW,B58,,Axio,Net 30,12500.0,9446.0,3054.0,Jonny 1%,OFA Bank (8071),# 386509,94.46,9446.0,,9540.46,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-26,PO #00087,PSA,KCLT → KMEM,B58,,Axio,Net 30,7600.0,4637.5,2962.5,Jonny 1%,OFA Bank (8071),# 386358,46.38,4637.5,,4683.88,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-25,PO #00086,PSA,KCVG → KPHL,C310,,Sonrise Aviation,Net 30,7000.0,6068.8,931.2,Jonny 1%,OFA Bank (8071),# 386358,60.69,6068.8,,6129.49,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-24,PO #00085,PSA,KTUL → KCAK,C310,,Miller Aviation,Net 30,8900.0,8335.0,565.0,Jonny 1%,OFA Bank (8071),# 386224,83.35,8335.0,,8418.35,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-22,PO #00084,PSA,KGSP → KPNS,B58,,Clemson,Net 30,500.0,500.0,,OFA,OFA Bank (8071),# 386224,,,,,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-20,PO #00083,PSA,KDFW → KLIT,C310,,Miller Aviation,Net 30,7000.0,5992.73,1007.27,Jonny 1%,OFA Bank (8071),# 386056,59.93,5992.73,,6052.66,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-19,PO #00082,PSA,KGSP → KLIT,B58,,Axio,Net 30,7250.0,5250.0,2000.0,Jonny 1%,OFA Bank (8071),# 386509,52.5,5250.0,,5302.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-17,PO #00081,PSA,KDAY → KDSM,C310,,Sonrise Aviation,Net 30,6500.0,5550.0,950.0,Jonny 1%,OFA Bank (8071),# 385890,55.5,5550.0,,5605.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-15,PO #00080,PSA,KDFW → KCLT,C90,,Executive Shuttle,Net 30,14900.0,13815.81,1084.19,Jonny 1%,OFA Bank (8071),# 385890,138.16,13815.81,,13953.97,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-11,PO #00078,PSA,KDAY → KPNS,C319,,Sonrise Aviation,Net 30,9500.0,8500.0,1000.0,Jonny 1%,OFA Bank (8071),#385624,85.0,8500.0,,8585.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-11,PO # 00079,PSA,KDAY-KCAK → KALB,C310,,Sonrise Aviation,Net 30,8500.0,7532.78,967.22,Jonny 1%,OFA Bank (8071),#385624,75.33,7532.78,,7608.11,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-10,PO #00077,PSA,KDAY → KMCI,C310,,Miller Aviation,Net 30,6500.0,5508.0,992.0,Jonny 1%,OFA Bank (8071),#385624,55.08,5508.0,,5563.08,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-08,PO # 00075,PSA ,DAY-CVG → KLIT,C310,,Sonrise Aviation,Net 30,8500.0,7600.0,900.0,Jonny 1%,OFA Bank (8071),#385624,76.0,7600.0,,7676.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-04,PO # 00073,PSA,KORF → KBDL,PAY2,,Contrail,Net 30,9900.0,8799.85,1100.15,Jonny 1%,OFA Bank (8071),# 386056,88.0,8799.85,,8887.85,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-04,PO # 00074,PSA,DAY-? → KPIA,C310,,Sonrise Aviation,Net 30,7000.0,6000.0,1000.0,Jonny 1%,OFA Bank (8071),# 385505,60.0,6000.0,,6060.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-03-02,PO #00072,PSA,KCLT → KBGR,BE58,,Axio,Net 30,13500.0,11152.5,2347.5,Jonny 1%,OFA Bank (8071),# 385365,111.53,11152.5,,11264.03,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-24,PO #00071,PSA,KORF → KPWM,King Air 90,,"Vertivue, LLC",Net 30,13300.0,13202.93,97.07,Jonny 1%,OFA Bank (8071),# 385063,132.03,13202.93,,13334.96,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-23,PO #00070,PSA,KCLT → KBGR,C90,,Executive Air Shuttle,Net 30,14750.0,13750.0,1000.0,Jonny 1%,OFA Bank (8071),# 385063,137.5,13750.0,,13887.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-23,PO #00069,PSA,KDAY → KBTR,Caravan,,Priority Air Charter,Net 30,13500.0,11913.04,1586.96,Jonny 1%,OFA Bank (8071),# 385063,119.13,11913.04,,12032.17,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-22,PO #00067,PSA,KDAY-KCAK → KHSV,C310,,Sonrise Aviation,Net 30,8000.0,7400.0,600.0,Jonny 1%,OFA Bank (8071),# 385063,74.0,7400.0,,7474.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-22,PO #00068,PSA,KDAY → KBTV,Aerostar,,Castle,Net 30,7900.0,7200.0,700.0,Jonny 1%,OFA Bank (8071),# 385063,72.0,7200.0,,7272.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-21,PO #00066,PSA,KCAK-KDAY → KHSV,C340,,Air Z,Net 30,7800.0,6725.0,1075.0,Jonny 1%,OFA Bank (8071),# 385063,67.25,6725.0,,6792.25,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-19,PO #00065,PSA,KCKB → KPNS,C340,,Air Z,Net 30,10800.0,9500.0,1300.0,Jonny 1%,OFA Bank (8071),# 384896,95.0,9500.0,,9595.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-16,PO # 00064,PSA,KDAY → KORF,,,Air Z,Net 30,7000.0,5500.0,1500.0,Jonny 1%,OFA Bank (8071),# 384739,55.0,5500.0,,5555.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-15,PO # 00063,PSA,KCLT → KTLH,B200,,Low Aviation,Net 30,10900.0,9890.0,1010.0,Jonny 1%,OFA Bank (8071),# 384554,98.9,9890.0,,9988.9,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-14,PO # 00062,PSA,KDAY → KCLT,C340,,Air Z,Net 30,8000.0,6500.0,1500.0,Jonny 1%,OFA Bank (8071),# 384554,65.0,6500.0,,6565.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-13,PO # 00061,PSA,KDAY → KALB,C310,,Sonrise Aviation,Net 30,9000.0,7872.78,1127.22,Jonny 1%,OFA Bank (8071),# 384554,78.73,7872.78,,7951.51,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-12,PO #154CA,PSA,KDAY → KMLI,PAY2,,FedAir,Net 30,9900.0,8700.0,1200.0,Jonny 1%,OFA Bank (8071),# 384554,87.0,8700.0,,8787.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-07,PO #2749MG,PSA,KCLT → KALB,Aerostar,,Castle,Net 30,7500.0,6450.0,1050.0,Jonny 1%,OFA Bank (8071),# 384281,64.5,6450.0,,6514.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-06,PO #26249,PSA,KDAY → KICT,C310,,Air Z,Net 30,11000.0,9900.0,1100.0,Jonny 1%,OFA Bank (8071),# 384281,99.0,9900.0,,9999.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-05,PO #26248,PSA,KCVG → KMCI,C310,,Sonrise Aviation,Net 30,8400.0,8457.0,-57.0,Jonny 1%,OFA Bank (8071),# 384281,84.57,8457.0,,8541.57,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-04,PO #26247,PSA,KDAY → KDFW,C310,,Sonrise Aviation,Net 30,10500.0,11126.38,-626.38,Jonny 1%,OFA Bank (8071),# 384281,111.26,11126.38,,11237.64,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-03,PO #26246,PSA,KDAY → KPIA,C310,,Sonrise,Net 30,5100.0,4185.0,915.0,Jonny 1%,OFA Bank (8071),# 384281,41.85,4185.0,,4226.85,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-02-02,PO #26245,PSA,KCAK → KBTV,C340,,Air Z,Net 30,7500.0,6000.0,1500.0,Jonny 1%,OFA Bank (8071),# 384141,60.0,6000.0,,6060.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-01-22,PO # 26241,PSA,KORF → KBDL,TBM,,Contrail,Net 30,9800.0,8445.17,1354.83,Jonny 1%,OFA Bank (8071),# 383704,84.45,8445.17,,8529.62,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-01-19,PO #26240,PSA,KCVG → KJAN,C310,,Sonrise,Net 30,9200.0,8210.0,990.0,Jonny 1%,OFA Bank (8071),# 383612,82.1,8210.0,,8292.1,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-01-18,PO # 26239,PSA,KCAK → KALB,Aerostar,,Castle,Net 30,5500.0,4150.0,1350.0,Jonny 1%,OFA Bank (8071),# 383612,41.5,4150.0,,4191.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-01-14,PO # 26238,PSA,KDAY → KHSV,C340,,Air Z,Net 30,7700.0,6500.0,1200.0,Jonny 1%,OFA Bank (8071),# 383480,65.0,6500.0,,6565.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2025-01-10,PO # 26237,PSA,KCVG → KMCI,C310,,Sonrise,Net 30,8000.0,7458.0,542.0,Jonny 1%,OFA Bank (8071),# 383241,74.58,7458.0,,7532.58,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-30,PO #26231,PSA,KCAK → KMHT,C340,,Air Z,Net 30 ,8000.0,6500.0,1500.0,Jonny 1%,OFA Bank (8071),# 382857,65.0,6500.0,,6565.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-29,PO #26228,PSA,KORF → KMHT,C90,,Vertivue,Net 30,10500.0,9631.25,868.75,Jonny 1%,OFA Bank (8071),# 382857,96.31,9631.25,,9727.56,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-29,PO #26230,PSA,KCLT → KMOB,King Air,,Augusta,Net 30,12500.0,11453.75,1046.25,Jonny 1%,OFA Bank (8071),# 382857,114.54,11453.75,,11568.29,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-29,PO #26229,PSA,KCAK → KPVD,C310,,Air Z,Net 30,8800.0,6600.0,2200.0,Jonny 1%,OFA Bank (8071),# 382857,66.0,6600.0,,6666.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-29,PO #VG122909,,,,,Moyer,,11900.0,11257.65,642.35,Jonny 1%,OFA Bank (8071),PDT38575,112.58,11257.65,,11370.23,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-28,PO #26226,PSA,KCVG → KMOB,C310,,Sonrise,Net 30,9200.0,8768.0,432.0,Jonny 1%,OFA Bank (8071),# 382857,87.68,8768.0,,8855.68,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-28,PO #26227,PSA,KCAK → KPVD,C310,,Sonrise,Net 30,9500.0,8980.0,520.0,Jonny 1%,OFA Bank (8071),# 382857,89.8,8980.0,,9069.8,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-25,PO #26225,PSA,KGSP → KDFW,C90,,Exec Shuttle,Net 30,13300.0,12274.0,1026.0,Jonny 1%,OFA Bank (8071),# 382857,122.74,12274.0,,12396.74,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-24,PO #26224,PSA,KCVG → KBGR,Aerostar,,Castle,Net 30,11250.0,10250.0,1000.0,Jonny 1%,OFA Bank (8071),# 382857,102.5,10250.0,,10352.5,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-24,PO # 26223,PSA ,KCAK → KABE,Aerostar,,Castle,Net 30,6300.0,3607.5,2692.5,Jonny 1%,OFA Bank (8071),# 383612,36.08,3607.5,,3643.58,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-23,PO # 26222,PSA,KCAK → KBDL,C310,,Air Z,Net 30,7000.0,5900.0,1100.0,Jonny 1%,OFA Bank (8071),# 382680,59.0,5900.0,,5959.0,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-21,PO # 26221,PSA,KDAY → KDSM,C310,,Sonrise,Net 30,7100.0,6158.0,942.0,Jonny 1%,OFA Bank (8071),# 382680,61.58,6158.0,,6219.58,Yes,Yes,No,Yes,Yes,,No
Legacy,2024-12-19,PO #26219,PSA,KCAK → KBTV,King Air,,FedAir,Net 30,19800.0,18800.0,1000.0,Jonny 1%,OFA Bank (8071),# 382521,188.0,18800.0,,18988.0,Yes,Yes,No,Yes,Yes,,No
